,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),0.7855929214273641,0.7885105540253989,1.0132070917675302,1.0198492587593948,1.0209531805323464,1.0187983246814336,1.0121821775730635,1.0048588943956303,0.9939579602256925,0.9808407226364271,0.9635912759872319,1.3579366779162285
1,Consumption ($C_t$),0.7602845675179579,-1.519210131818864,1.0274391876024473,1.1389192909018406,1.2110033673188836,1.2740355340421328,1.3272411305528407,1.3738699797395093,1.4125702360686376,1.4434526586303094,0.9228329993405208,1.9653825135187541
2,Capital Stock ($K_t$),0.14959660234304617,0.2747711533383245,0.8308526399147806,0.9256643944822377,0.9972536559846016,1.0520651197198085,1.0891600442929623,1.1172040089907338,1.132373799611847,1.1361645245755227,0.8667007883555783,2.3632992473375474
3,Labor ($L_t$),1.1787491536760413,1.1057781413343353,1.125522966837283,1.0778187569000035,1.0355317398961779,0.9983440105718786,0.9648682646484441,0.9358262329094366,0.9089233405884878,0.8854317410159783,1.0215020084144604,0.7445263438847234
4,Real interest rate ($r_t$),1.210042227153583,0.9705934164015316,0.33946114807783934,0.17460258234523876,0.04381702596358338,-0.061404310832258384,-0.14198327369836836,-0.2072085995586261,-0.2554257546807979,-0.2869048532725005,0.1713022873404515,-1.817196775344264
5,Wage rate,-0.3885764000268726,-0.31379796361052936,-0.11106587331907926,-0.05735166305457799,-0.014429314673884358,0.02025211210397681,0.04686189672001025,0.06839291196871382,0.08426910271783616,0.09457217673896595,-0.05786276312941661,0.6088771962295466
