,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),0.9788814892030302,0.9682753426987436,1.2708992245643054,1.3116349314541504,1.3184569856070143,1.3160994339045662,1.3101886170423391,1.3014729629495558,1.2889787451108667,1.2748881962485237,1.2332137121368438,1.5577681575208087
1,Consumption ($C_t$),0.8942042736557866,-1.8873975317488634,0.7995792520191417,1.2082679842149193,1.339194419598055,1.4258001662077688,1.491590929908782,1.5438594679493096,1.5841649327575018,1.6158464902060288,0.9794383231240689,2.033545397757275
2,Capital Stock ($K_t$),0.20678142674549227,0.3486832810816529,1.067742075580045,1.2558529753973469,1.3612510783588598,1.4340972969491912,1.487556342382563,1.5259050814458324,1.547896818305728,1.5573277141429946,1.1694208366381347,2.546928449001799
3,Labor ($L_t$),1.4566920696791166,1.3512367230193845,1.3960478455579366,1.3459569339901252,1.2921461955096545,1.2435958162847867,1.2012569545809533,1.1636880491858828,1.1300655928532122,1.1015709549876265,1.2680093282547358,0.9541567958501982
4,Real interest rate ($r_t$),1.3840752113570505,1.1009229666182192,0.35509893802527,0.09677044799171565,-0.07408016096242515,-0.20333910849079256,-0.304750272543927,-0.384769223827616,-0.44315413390660036,-0.4827939527724161,0.08887184137145634,-1.6869173733683698
5,Wage rate,-0.4709161830723581,-0.37782212334195436,-0.12339100935579266,-0.0338310515524532,0.026010557219765255,0.07164854554060714,0.10767412414165849,0.13623541792677443,0.15717288860122233,0.171464512702609,-0.035471101705781764,0.5979034030402606
