,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),0.6812899310710631,0.6881645475423139,0.6893216611099474,0.6843711592954652,0.6741720649047901,0.6591735403948904,0.639788449472213,0.6163831455727251,0.5892846166979175,0.5587679053724477,0.6481427487435448,1.353887442606886
1,Consumption ($C_t$),0.44232405619395543,0.5644654108882791,0.6798064545950611,0.7742191294388953,0.8550548596647972,0.9239768029567778,0.9824211638359864,1.031684861405725,1.0729391670402386,1.1072154777229828,0.8396598975347516,1.8772884920881991
2,Capital Stock ($K_t$),0.14064477270607265,0.24203231312584944,0.31853231504392193,0.3707354837130261,0.40196664021075873,0.41435695386366905,0.4098137730415782,0.39005710599962595,0.3566279237687113,0.31088203434022094,0.33458176351434954,2.5569395195945974
3,Labor ($L_t$),1.0152476148018637,0.963531586491455,0.918045920944008,0.8777508730192235,0.8419511302873802,0.8100378373436954,0.7814898415238852,0.7558323884740867,0.732641833424393,0.7115277633374338,0.8404917061321663,0.6210029373361343
4,Real interest rate ($r_t$),0.9817874149728478,0.8033221319897201,0.6633869391903658,0.5584829521568352,0.4830452203825492,0.4334406008376198,0.40663943865382746,0.4000194288346137,0.4113195844032161,0.4386165623229353,0.5546146858118628,-1.8983646832320178
5,Wage rate,-0.3306044088862145,-0.2727421757892083,-0.22664642249533273,-0.19169986428540445,-0.16638100548633886,-0.14965488976543645,-0.14060555316563797,-0.13840627736914551,-0.14231796622825474,-0.15168429686188567,-0.19146441351869006,0.728361342378816
