,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),0.8729029051213135,0.8882765848934324,0.9055045935756676,0.9087506278209857,0.9064286806501752,0.8991090431406364,0.8872504754397187,0.8712523217387229,0.8523488457324343,0.8294809565930464,0.8821002318673945,1.4537135526141296
1,Consumption ($C_t$),0.5637192492065006,0.6311689030893469,0.852339369835146,0.965314509265686,1.0594529830917867,1.1383373185829266,1.2041814854199788,1.2588745596837536,1.30463210999734,1.341291063736696,1.0280733513944842,2.0171119598380027
2,Capital Stock ($K_t$),0.21001828318466953,0.37565086986093116,0.5242783225385844,0.625373397465223,0.6992803331058691,0.7494505733489717,0.7787342457554857,0.7896201510547665,0.7861510606503813,0.7673501202858315,0.629056077155278,2.6132686252558863
3,Labor ($L_t$),1.282768074651133,1.2048525868295923,1.140685230359401,1.0834304409456277,1.0340414349554543,0.991263084735405,0.9540487963549938,0.9214911988307422,0.8930840395540677,0.8677123615067703,1.0367992393973273,0.7470783371725727
4,Real interest rate ($r_t$),1.113374526235708,0.8544937811110386,0.6318281348676772,0.46784333351695007,0.3410991862497786,0.24605305845267644,0.17830376742530202,0.13415492153333022,0.10887470659715622,0.10231657105353476,0.41383729768730826,-1.774257763071484
5,Wage rate,-0.404677059777131,-0.31281045253441486,-0.2325312823214642,-0.17280984435929855,-0.12630865201981836,-0.09125133194802043,-0.06616889282174106,-0.04978216506572414,-0.040377302061696325,-0.037905464470095705,-0.15400303692891706,0.7013952840657727
