,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),1.0821956003647382,1.0990301450019455,1.1276216829884878,1.1356914228652604,1.139119752601784,1.137853221045526,1.1337511567626384,1.1254082915639916,1.114270834319811,1.0990785871860218,1.1193461543954004,1.6209592424400006
1,Consumption ($C_t$),0.615775603706229,0.59311597992652,0.8939012128486925,1.0109478051500955,1.1065128789541014,1.1875122584864732,1.2570107150325365,1.316570550928455,1.3673714157239498,1.4099320080355298,1.0712023770174182,2.0561194880400415
2,Capital Stock ($K_t$),0.22361013368734028,0.40884031713466296,0.5969974373957551,0.7246814053098407,0.8260710229301211,0.9037313343239539,0.9635152344155412,1.0049248293192985,1.031322197756147,1.041798079176964,0.7649769491055034,2.6955572708275413
3,Labor ($L_t$),1.6138940678381744,1.5258666765700317,1.455356746049305,1.3893044854209426,1.3321345195276608,1.2821134606678242,1.238592985739535,1.199580155461617,1.165320463681322,1.134324118525148,1.3332181762488822,0.9656494364378746
4,Real interest rate ($r_t$),1.5577345387564112,1.2377413000863207,0.9421456544346323,0.7241121604553197,0.5479433616518168,0.40756823310949236,0.2950094203711975,0.20800244980398708,0.14274076515763356,0.09829854076320946,0.6002323062110584,-1.7707809913745813
5,Wage rate,-0.5232556968384735,-0.42042370960560604,-0.32303567632054986,-0.250139756930627,-0.19047947610429805,-0.14243646661745282,-0.1035617997828924,-0.07329559719911688,-0.050464655338195025,-0.03485315603571236,-0.2130718745092022,0.6490423925816828
