,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),1.1609881300500449,1.2266063501491977,1.373980019214212,1.4712147547607375,1.5722698331346332,1.6747876362254424,1.7789957829822272,1.8844521796337734,1.9903166433930668,2.095647294579458,1.6221742808062016,7.964731174237588
1,Consumption ($C_t$),0.9491485848006922,-0.19539780902446272,1.1992160220600856,1.3719986081048,1.5034392703408983,1.6201710719529583,1.7263750439344294,1.8244272166629951,1.9160443882990166,2.0025639307586363,1.383982039340447,5.274442203249536
2,Capital Stock ($K_t$),0.835953598873697,1.1135701854358946,1.5373754175910477,1.8526196629152496,2.1685331246260673,2.4806889777019063,2.790413312548724,3.097631840707809,3.4012825664441184,3.700289600836738,2.2899797092088354,19.713310101571775
3,Labor ($L_t$),1.3607203012200344,1.2959487244701213,1.2739639807192937,1.23815624604589,1.208538947525277,1.183983322409229,1.1640195467975802,1.1479569850724216,1.1350639874195414,1.124453947874304,1.2131767634219168,1.3413637125686653
4,Real interest rate ($r_t$),0.6254282211534588,0.21597581030209967,-0.3100932566410228,-0.7196549347838954,-1.1192343768308002,-1.5055305654404803,-1.881094022127787,-2.2469481354977594,-2.602888092117503,-2.9488795903857574,-1.2626090084833614,-18.20182159619981
5,Wage rate,-0.19700669495285966,-0.06841059322677726,0.09880041748603623,0.23024896240192244,0.35942622090764476,0.48509748349615356,0.607933622798433,0.7281669522270828,0.8456811571397737,0.9604179605237498,0.40365584353946515,6.535694276078324
