,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),1.03808751149233,1.0495407014917166,1.0619955872231321,1.061463105103831,1.056066622667703,1.04603789460986,1.0321194659312958,1.0147943918667661,0.9935736402007715,0.9689991550271868,1.0322278844266874,1.567694843574326
1,Consumption ($C_t$),0.6315941435465444,0.7173439542026886,0.9395012201089971,1.061315998121992,1.1610949698299264,1.2437836021145126,1.3130634525554516,1.369956384697656,1.4165346033475885,1.4536680977532617,1.126884121663917,2.1229128922814633
2,Capital Stock ($K_t$),0.25036319827390363,0.43868379439664085,0.6049331407495824,0.7214420930138404,0.8077184238744308,0.8678576321969614,0.9059547614823055,0.9252587626863442,0.926226005789379,0.9108633493217957,0.7341620721659808,2.7304501844272973
3,Labor ($L_t$),1.5256268895628466,1.4270753802441285,1.3441301681342415,1.2711537499496413,1.2091103970255903,1.1557793723728138,1.1097922978412043,1.0699006793596681,1.0350167277492786,1.0047711196392668,1.214391857031258,0.8591199557018079
4,Real interest rate ($r_t$),1.3212183295887499,1.0162100147282946,0.7556797397705592,0.5598115170977119,0.4077101758032248,0.29200842822641115,0.20660671395151473,0.14662940531671673,0.11036810016088379,0.09538764310713595,0.48597705974773187,-1.7763812797837848
5,Wage rate,-0.48021647862518313,-0.37222652614459056,-0.27839590624371247,-0.2070609996738828,-0.15121748740225968,-0.10848958470782664,-0.07682236455828272,-0.054525369057098365,-0.041021228079029734,-0.035419268908507995,-0.18124294048311554,0.7025392649106079
