,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),0.8618366743676908,0.8799198138256111,0.8536492164992912,0.8597843534213043,0.8617532140812055,0.8590669730645508,0.852785519265911,0.8434205223824379,0.8307678364693393,0.8152263362648071,0.8518374349276933,1.4138047568443601
1,Consumption ($C_t$),0.5228261603103748,1.1048401747548804,0.7679346193013392,0.8697545843516664,0.9546866351728647,1.0279161112742918,1.0922222047554841,1.1493016020802431,1.1989257177130856,1.241917915839751,0.9907538711486258,1.9818021802686165
2,Capital Stock ($K_t$),0.16017971109213253,0.30986839848450803,0.353682681901578,0.4511548777581007,0.5277260671852599,0.5840993558950894,0.6239019331752532,0.6499507176548841,0.6628186446556009,0.6637743243440577,0.4969525018031172,2.4953521339676916
3,Labor ($L_t$),1.2958105202161623,1.2321220591373143,1.1623762433268339,1.1119259304130082,1.067738579017179,1.0285516493142246,0.9938128285210747,0.9625937607617497,0.9341998489385346,0.9084862592594861,1.0693628819889682,0.7543046272737891
4,Real interest rate ($r_t$),1.3549981149553572,1.0910958777860351,0.9510233348386826,0.7733594655502398,0.6297865578291392,0.5170632589972253,0.4297000411791292,0.3629197690650951,0.3149954841533124,0.2841611595529006,0.6653447525875376,-1.8864675111525133
5,Wage rate,-0.42842496320345813,-0.3479180120751687,-0.3051819458993556,-0.24937084980069213,-0.20381129504084675,-0.1677613601163129,-0.13964187415568569,-0.118039556425233,-0.10247745810877665,-0.0924232521269288,-0.2160744537430617,0.6545627309515686
