,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$),1.0404189313195713,1.0401100275592088,1.0349539438814488,1.0242870497307028,1.009077675907787,0.9899679111984383,0.9664367233754787,0.9394549184790473,0.9090082286241,0.8752855062260926,0.9829351640372366,1.6149202447660524
1,Consumption ($C_t$),0.592842974443755,0.7318032068692004,0.8711004385868505,0.9820786047510626,1.0749102599611522,1.1537862437009154,1.2185560239759536,1.273454568701025,1.3191230485310341,1.3567847822531702,1.0534824793398063,2.1211872025171425
2,Capital Stock ($K_t$),0.21630182211470314,0.36557276541305356,0.48376700740571504,0.5704193011418527,0.6304762583607149,0.6678469887299848,0.6836207786489862,0.681102278677188,0.6621323629653776,0.6284323040935,0.5570069185950736,2.823579177002187
3,Labor ($L_t$),1.5506319466378684,1.457215439832383,1.3754470971150283,1.304442919001033,1.242633521873478,1.1885916523377125,1.1407697733922189,1.0986772722750606,1.0611436170881263,1.0274070342750317,1.2437540449235809,0.8786346328356672
4,Real interest rate ($r_t$),1.4902274691599078,1.2076908989295383,0.9794664439275059,0.8020661845409206,0.666332272107908,0.5653282264114738,0.4955077218197618,0.45230311049041766,0.4321994309983141,0.4324149699366937,0.7452357767538409,-1.9003181746800362
5,Wage rate,-0.5024281832353403,-0.41112035820144827,-0.33587898885254275,-0.2765539329329422,-0.23069468748768704,-0.19629619869703493,-0.17237246873687811,-0.1574980056169081,-0.15054426949486646,-0.15058115050207285,-0.25922692006893205,0.7298727008586184
