,Variable,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035,SS
0,GDP ($Y_t$) Baseline,0.7119368099233788,0.7121100212514427,0.712717322230859,0.7137708823864086,0.7153760657066214,0.7177912547385913,0.7070584935872894,0.6976313089192265,0.6893515437443264,0.6820120131313913,7.059755715619535,0.6368977178675215
1,GDP ($Y_t$) Reform,0.7188345761858517,0.7187612831405512,0.7190579009551531,0.7197073361496735,0.7208202837329238,0.722645490615508,0.7125160980897768,0.7036627617676599,0.6959253656485804,0.6890942641846423,7.121025360470321,0.6490544188826891
2,Consumption ($C_t$) Baseline,0.49692713613332046,0.49098396603732664,0.48580450383599055,0.48149929015263093,0.47762349277431837,0.4740228515449625,0.47079893943698037,0.46800228187830184,0.46559028614620335,0.46350600772562445,4.774758755665659,0.47244744818794115
3,Consumption ($C_t$) Reform,0.5015914441265168,0.49646885347917435,0.4921796585960701,0.48854909595739454,0.48526337967282995,0.48219711836133844,0.47947387868431984,0.47714340628347984,0.47516363643452075,0.4734786213279405,4.8515090929235845,0.48688139160213084
4,Capital Stock ($K_t$) Baseline,2.343175627831581,2.32551055027708,2.315002621547564,2.3105543092425838,2.3114346340141476,2.318091919803969,2.2373517837190446,2.1670059062427605,2.1056117522286226,2.0517764431752266,22.48551554808258,1.780515347710933
5,Capital Stock ($K_t$) Reform,2.3480337138723315,2.332638899018429,2.3233779146800377,2.3190793775924754,2.3191816829329768,2.3241816860724653,2.2498224973680014,2.185211551833902,2.1289684547067402,2.079753385692176,22.610249163769534,1.8500750890672204
6,Labor ($L_t$) Baseline,0.3421774693281488,0.3439088259914903,0.34534316961025735,0.34657773397428787,0.3477558859254928,0.3490360622595134,0.3481549854627915,0.3474489225520028,0.3468912329540145,0.3464203959556609,3.4637146840136603,0.3384363248472714
7,Labor ($L_t$) Reform,0.3471052079903991,0.34845493053120397,0.3495413434354227,0.3504502487012926,0.3513163637132063,0.35228724504429965,0.35130236390867103,0.35050505374074403,0.349867642454029,0.34932686955057834,3.5001572690698466,0.3408021984818056
8,Real interest rate ($r_t$) Baseline,0.06253745485158316,0.0634123397393734,0.06401908470396975,0.06440417963569872,0.06461598442764521,0.0646721803069268,0.06701402858354605,0.06918374859968347,0.07118673406921142,0.0730275816872831,0.664073316604921,0.08231946095914516
9,Real interest rate ($r_t$) Reform,0.06338538630786142,0.06411579779437089,0.06461370239149664,0.06492718968215012,0.06509837935009435,0.06514121483894157,0.06726156771181876,0.06921239869975179,0.07100168386900561,0.07263608258987103,0.6673934032353621,0.07979367487194211
10,Wage rate Baseline,1.2882835069279235,1.2821097075866752,1.2778734921925738,1.2752037956587086,1.273741674074389,1.2733544855065353,1.2574889953843194,1.243244284814884,1.230464013831528,1.219017864792074,12.62078182076961,1.1652368495353755
11,Wage rate Reform,1.2822987529145986,1.2772016060995737,1.273757376794404,1.2716013127391945,1.2704279637735563,1.2701348109046824,1.2558421581216015,1.2430590030966666,1.2316302811741757,1.2214287137105027,12.597381979328954,1.1792345939909248
